,text
Ses02F_impro07_M018,That'll be awesome.
Ses02F_impro07_M019,"I mean because you went to the campus before, right?"
Ses02F_impro07_F019,"Yeah, oh totally. It's a beautiful campus. It's gonna be really nice. Um, and everyone is friendly and like there's ivy on all the walls. Oh, it's just so--it's so like collegiate."
Ses02F_impro07_F020,"You know what I mean? Like, it's like exactly what I want."
Ses02F_impro07_F021,"Well, you know, I've thought about it but they have so many things that I might--Like try some things out first..."
Ses02F_impro07_F022,"...because also on the list of their, um, like G.E.'s or whatever, you have a lot of choices within every single one. So you can, like, try things out and not just be like, oh, I have to take math, oh, I have to take this. You know what I mean?"
Ses02F_impro07_F023,"So, um, so I don't know."
Ses02F_impro07_F024,I mean I'm gonna take a bunch of stuff and see.
Ses02F_impro07_M023,Oh man.
Ses02F_impro07_F025,"I- They have like--they just have so many like prestigious like this school is top ten and like the departments within it, you know what I mean."
Ses02F_impro07_F026,"I know, I get to be one of those now--I'll like walk around and be like a U.S.C.. You know what I mean."
Ses02F_impro07_M027,Ahh. Yeah. [GARBAGE]
Ses02F_impro07_M028,"You'll be like are you a fan or a student you know? Student. [LAUGHTER] Oh man, that's awesome."
Ses02F_impro07_F027,And you'll be like...
Ses02F_impro07_F028,"Student. I'm a student. Yes I am, Thank you very much."
Ses02F_impro07_F029,[BREATHING]
Ses02F_impro07_M029,A U.S.C. graduate now. You're set.
Ses02F_impro07_F030,I know. I'm excited.
Ses02F_impro07_F031,"Well, that'll take a while. [GARBAGE]"
Ses02F_impro07_F032,That's going to be a lot of work.
Ses02F_impro07_F033,"But, it'll be fine, I mean. I'm so excited. It's going to be so fun."
Ses02F_impro07_F034,"I know, and I mean the area's not great, but like the school makes up for it. It'll be fine. It'll be good."
Ses02F_impro07_M034,You're getting close to the beach. I mean geez.
Ses02F_impro07_F035,I know. I know. So fun. I can't wait.
Ses02F_impro07_F036,I will. I will. Thank you.
Ses02F_impro07_F037,Thanks.
Ses02F_impro08_F000,"Hi, my name is Shiloh, welcome to--Airline Six. Hi, how may I help you?"
Ses02F_impro08_M000,"Yeah, hello."
Ses02F_impro08_M001,Ok. I've- I've just been talking to this machine for the past half hour and I can't-can't get anything done. I've been trying to book this vacation this entire time.
Ses02F_impro08_F001,"All right, sir."
Ses02F_impro08_M002,"I know, I'm sorry. It's-It's just that it's been a little frustrating because--"
Ses02F_impro08_F002,I completely understand. Automated systems are very difficult sometimes.
Ses02F_impro08_M003,Okay.
Ses02F_impro08_F003,"Um, how may I help you. You're trying to book a specific flight?"
Ses02F_impro08_M004,"Well, yeah, I mean I heard there was like these package deals and that maybe I could get a like a hotel or something like that. and-"
Ses02F_impro08_F004,"Oh, yeah, absolutely. You know, and especially because you've been waiting so long and I know that, um, you've been having a difficult time."
Ses02F_impro08_F005,"I want to definitely give you our special package today, which um is usually only for valued customers who have a record of having previous,"
Ses02F_impro08_F006,"um lots of purchases, but we're gonna go ahead and give that to you anyway. uh, Just to make sure that you're happy with your service here."
Ses02F_impro08_M005,You- You can do that--You can do that now? I don't have to get like transferred through or anything like that.
Ses02F_impro08_F007,Is that all right?
Ses02F_impro08_F008,"I can do that right now for you. No, absolutely. I can take care of you all the way through to the end."
Ses02F_impro08_F009,All I'm going to need is your credit card number but just give me one moment. So-
Ses02F_impro08_M006,[BREATHING] that's good.
Ses02F_impro08_F010,"um, you're scheduling a flight as well--And you would like to, um, we have a highly discounted hotel rate that goes along with that so that everything is all in one deal. You're taken care of by the time that you get there."
Ses02F_impro08_M007,"All right. I want to make sure it's like a nice hotel--I mean-mean I'm gonna be paying a lot of money for this so I don't wanna-I don't wanna, you know, I don't wanna to be a waste of time."
Ses02F_impro08_F011,Absolutely. we we
Ses02F_impro08_F012,"Yes, I completely understand. Actually, our-our airline only uses five star hotel and above. Except we charge at a three star hotel rate because, as a corporation, we are able to get a deal from the hotels themselves."
Ses02F_impro08_F013,"So, you will absolutely be in a high rated great hotel and we can make sure that it's in a area of town that you like as well."
Ses02F_impro08_M008,Okay. So--
Ses02F_impro08_F014,Yeah.
Ses02F_impro08_M009,"Well, you know, we wanted to--we wanted to go to Maui and--That was a"
Ses02F_impro08_F015,Okay.
Ses02F_impro08_M010,"--you know, the kids wanna go to the beach and stuff and so--um"
Ses02F_impro08_F016,Great. How many seats?
Ses02F_impro08_M011,"Well, it's gonna be four of them."
Ses02F_impro08_F017,Okay. Great. Four seats. I'll book you for four seats.
Ses02F_impro08_M012,All right. And can they like all get together?
Ses02F_impro08_F018,"Oh, yeah, absolutely. Um- Would you like window seats or aisles?"
Ses02F_impro08_M013,"Um- You know, window is nice. I guess"
Ses02F_impro08_F019,"Okay, I can do um- a win- -two like a window and a aisle and a window and an aisle next to each other so that each of you can sit two by two. And switch around maybe?"
Ses02F_impro08_F020,Okay. Great. What time of the day would you like?
Ses02F_impro08_M015,"Uh, well, yeah, I think we were just--you know, whenever best available, I guess. You know--"
Ses02F_impro08_F021,All right. Great. Well we have a very open flight that leaves at nine a.m. and fortunately uh the time change actually goes um backwards from that.
Ses02F_impro08_F022,"So, it's a five hour flight, but you'll arrive only at eleven a clock in the morning. So that day, you can have plenty of time to get to your hotel--Rest up and then still have a nice afternoon your first afternoon in Maui."
Ses02F_impro08_M016,"And, like, there's there's shuttles or something that I can get to the hotel."
Ses02F_impro08_F023,Absolutely. That actually goes in on the same package with our hotel. You just give me your address. We'll come and pick up a time that allows you to get to your flight with plenty of time to spare.
Ses02F_impro08_F024,And a there will also be a shuttle waiting for you to take you to the appropriate hotel.
Ses02F_impro08_F025,Yeah--I completely understand. It's a difficult process sometimes and we want to make traveling as easy as possible.
Ses02F_impro08_M018,All right. So we're confirmed then or do you--All right.
Ses02F_impro08_F026,Absolutely. Thank you so much for calling and we hope that you will come to us again.
Ses02F_impro08_M019,Okay.
Ses02F_impro08_F027,Thank you.
Ses02F_script01_1_F004,Did you talk to him?
Ses02F_script01_1_F005,He cried hard?
Ses02F_script01_1_F006,What was he doing out here at that hour?
Ses02F_script01_1_F011,What do you want to do argue with him?
Ses02F_script01_1_M011,Why shouldn't he dream of him and walk the nights waiting for him? Do we contradict him? Do we say straight out that we don't have any hope anymore? That we haven't had hope for years now?
Ses02F_script01_1_F012,You can't say that to him.
Ses02F_script01_1_M012,We've got to say it to him.
Ses02F_script01_1_F013,Can you prove it? How can you prove it?
Ses02F_script01_1_M013,"For God sakes, it's been three years. Nobody comes back after three years. It's insane."
Ses02F_script01_1_F014,"To you it is and to me, but not to him. I mean, you can talk yourself blue in the face, but he--there's no body and no grave so where are you?"
Ses02F_script01_1_M015,All right. All right. Listen to me. You know why I brought Annie here don't you?
Ses02F_script01_1_F017,"I've got an idea, but what's the story?"
Ses02F_script01_1_M017,I'm gonna ask her to marry me.
Ses02F_script01_1_F018,"Well, that's only your business, Chris."
Ses02F_script01_1_M018,You know it's not only my business.
Ses02F_script01_1_F019,What do you want me to do? You're old enough to know your own mind.
Ses02F_script01_1_M019,So it's all right then?
Ses02F_script01_1_M020,I'll go ahead with it?
Ses02F_script01_1_M021,"Well, then it isn't just my business--"
Ses02F_script01_1_F021,I'm just saying that--
Ses02F_script01_1_M023,She's not Larry's girl.
Ses02F_script01_1_F023,"From your father's point of view, he isn't dead. And you've no right to take his girl."
Ses02F_script01_1_F024,"And you can go on from there if you know where to go, but I don't know where to go. See, I don't know. Now what can I do for you?"
Ses02F_script01_1_M024,"I don't know why, but, every time I reach out for something that I want, I have to pull back 'cause someone else will suffer. My whole bloody life. Time after time after time."
Ses02F_script01_1_F025,You're a considerate fellow. There's nothing wrong with that.
Ses02F_script01_1_M025,To hell with that.
Ses02F_script01_1_F026,[BREATHING] Have you asked Annie yet?
Ses02F_script01_1_F027,"Well, how do you know she'll marry you? Maybe she feels the same way your father does."
Ses02F_script01_1_M027,"Well, if she does, then that's the end of it. But from her letters, I think she's forgotten him. I'll find out. And then we'll thrash it out with Dad, right? Mom, don't avoid me."
Ses02F_script01_1_F028,"Trouble is, you don't see enough women."
Ses02F_script01_1_F029,You never did.
Ses02F_script01_1_F030,I just don't see why it has to be Annie.
Ses02F_script01_1_M029,Because it is.
Ses02F_script01_1_F031,"Well, that's a good answer, but it doesn't answer anything. I mean, you've been away for--at war. It's been five years."
Ses02F_script01_1_M031,"These years when I think of a wife, I think of Annie. What do you want, a diagram?"
Ses02F_script01_1_F032,"I don't want a diagram. Umm-- He thinks he's coming back, Chris. You marry that girl and you're pronouncing him dead."
Ses02F_script01_1_F033,"I mean, what's gonna happen to your father? Do you know? I don't."
Ses02F_script01_1_M032,"All right. All right, then, Mom."
Ses02F_script01_1_F034,I just--give it some more thought.
Ses02F_script01_1_M033,I've given it three years of thought. I thought that if I waited Dad would forget about Larry and we could have a regular wedding and everything happy.
Ses02F_script01_1_F036,Are you crazy?
Ses02F_script01_1_M036,I've been a good son too long. A good sucker. I'm through with it.
Ses02F_script01_1_F037,What about the business? What the hell is this?
Ses02F_script01_1_M037,The business? The business doesn't inspire me.
Ses02F_script01_1_F038,Must you be inspired?
Ses02F_script01_1_M038,"Yes. I like it an hour a day. If I'm gonna grub for my money all day long, at least in the evening I want it beautiful."
Ses02F_script01_1_M040,"Yes, on this I would."
Ses02F_script01_1_F040,"Well, you don't want to think like that."
Ses02F_script01_1_M042,"I know. I know, Mom. Just help me stay here."
Ses02F_script01_1_F042,"All right. Just-- just don't go thinkin' that way, you hear me?"
Ses02F_script01_1_M043,I am thinkin' that way.
Ses02F_script01_1_F043,"I don't understand you, do I?"
Ses02F_script01_1_M044,"No, you don't. I'm a pretty tough guy."
Ses02F_script01_1_F044,I can see that.
Ses02F_script01_2_M001,"Well, maybe he just wanted to see her again."
Ses02F_script01_2_M002,What do you mean? He lived next door to the girl all his life. Why wouldn't he want to see her again?
Ses02F_script01_2_M004,How do you know he's even thinking of it?
Ses02F_script01_2_F005,It's got that all about it.
Ses02F_script01_2_M005,"Well, so what?"
Ses02F_script01_2_M006,"Now, listen Kate."
Ses02F_script01_2_M007,You can't read her mind.
Ses02F_script01_2_F008,"Well then why is she still single? I mean, New York is full of men. Why isn't she married? Probably a hundred people told her she's crazy, but she's waited."
Ses02F_script01_2_M008,How do you know why she's waited?
Ses02F_script01_2_F009,"She knows what I know, that's why. She's faithful as a rock. In my worst moments I think of her waiting and I know again that I'm right."
Ses02F_script01_2_M009,"Look, it's a nice day. What are we arguing for?"
Ses02F_script01_2_M010,"Well, what do you want me to do about it?"
Ses02F_script01_2_F011,I want you to act like he's coming back. Both of you. Don't you think I haven't noticed since she got here. I won't stand for any nonsense.
Ses02F_script01_2_M011,But Kate--
Ses02F_script01_2_F012,"Because if he's not coming back, I'll kill myself. I mean, laugh--laugh at me, but..."
Ses02F_script01_2_F013,But why did that happen the very night she came here? She sleeps in his room and his memorial breaks to pieces. Just look. Look at it.
Ses02F_script01_2_M012,Calm yourself.
Ses02F_script01_2_F014,"Believe with me, Joe. I can't stand all alone."
Ses02F_script01_2_M013,Calm yourself.
Ses02F_script01_2_F015,"Last week, a man turned up in Detroit missing longer than Larry. I mean, you read it yourself."
Ses02F_script01_2_M014,All right. All right. Calm yourself.
Ses02F_script01_2_F016,"You, above all, have to believe."
Ses02F_script01_2_F017,Just--just don't stop believing.
Ses02F_script01_2_M016,What does that mean? Me above all?
Ses02F_script01_2_M017,Look at you. Look at you shaking.
Ses02F_script01_2_F018,I can't help it.
Ses02F_script01_2_M018,What have I got to hide? What the hell is the matter with you Kate?
Ses02F_script01_3_M001,You're not sorry you came?
Ses02F_script01_3_F009,"from her point of view, why else would I come?"
Ses02F_script01_3_M010,"You feel it's wrong here, don't you? This yard, this chair. I want you to be ready for me. I don't want to have to win you away from anything."
Ses02F_script01_3_F012,I almost got married two years ago.
Ses02F_script01_3_F013,You started to write me and--
Ses02F_script01_3_F014,Every day since.
Ses02F_script01_3_F016,I will never forgive you. Why did you wait all these years? All I did was sit and wonder if I was crazy for thinking of you.
Ses02F_script01_3_M020,No. Nothing like that.
Ses02F_script01_3_F020,"Then, what's wrong? I mean, even in your letters there was some--something ashamed."
Ses02F_script01_3_M021,"Yeah, I suppose I have been. But it's going from me."
Ses02F_script01_3_F021,You've gotta tell me.
Ses02F_script01_3_M022,I don't know how to start.
Ses02F_script01_3_F022,It wouldn't work this way.
Ses02F_script01_3_M023,"It's all mixed up with so many other things. You remember overseas, I was in command of a company?"
Ses02F_script01_3_F023,"Yeah, sure."
Ses02F_script01_3_M024,"Well, I lost them."
Ses02F_script01_3_F024,How many?
Ses02F_script01_3_M025,Just about all.
Ses02F_script01_3_F025,"Oh, gee."
Ses02F_script01_3_M026,It takes some time for a guy to toss that off. 'Cause they weren't just men.
Ses02F_script01_3_M027,"For instance, one time, it had been raining several days and this kid came to me and gave me his last pair of dry socks. I put them in pocket. It's only a little thing, but that's the kind of guys I had."
Ses02F_script01_3_M028,"They didn't die, they killed themselves for each other. I mean that exactly. A little more selfish and they'd have been here today."
Ses02F_script01_3_M029,"I got this idea watching them go down. Everything was being destroyed, see, but it seemed that there was one new thing being made. A sort of responsibility. Man for man."
Ses02F_script01_3_M030,"You know what I mean? To show that, to bring that onto the Earth again, like some kind of monument and everyone would feel it standing behind him and it would make a difference to him."
Ses02F_script01_3_M031,Then I came back and it was incredible. There was no meaning in it here. The whole thing to them seemed like sort of a bus accident. I went to work with Dad and that rat race again.
Ses02F_script01_3_M032,"And I felt what you said, ashamed somehow 'cause nobody was changed at all. It seemed to make suckers out of a lot of guys. I felt wrong to be alive to open the new bank book, drive the new car, see the new refrigerator."
Ses02F_script01_3_M033,"I mean, you can take those things out of a war, but when you drive that car, you've gotta know that it came out of the love a man can have for a man. You've gotta be a little better because of it."
Ses02F_script01_3_M034,Because otherwise all you have is really loot and there's blood on it. And I didn't want to take any of it. And I guess that included you.
Ses02F_script01_3_F026,You still feel that way?
Ses02F_script01_3_F029,What'll I do with a fortune?
Ses02F_script02_1_M000,What time is it? They're supposed to run around midnight.
Ses02F_script02_1_M001,"This is great, isn't it? Look at the night we've got here, couldn't be better."
Ses02F_script02_1_M002,"I would have liked to have gone a little further up the coast to get away from the lights and the people, but I was afraid we'd miss it."
Ses02F_script02_1_M003,How you doing?
Ses02F_script02_1_M004,Is that--no--is that just foam? I can't even tell.
Ses02F_script02_1_M005,"Well, I guess we can tell, it probably isn't right? Probably be unmistakable don't you think?"
Ses02F_script02_1_M006,"How you doing? Aw, you know what I forgot? I forgot to bring my flashlight. Oh, how could I be so stupid? I should've brought my flashlight."
Ses02F_script02_1_F001,What flashlight?
Ses02F_script02_1_M009,"Oh, well sure."
Ses02F_script02_1_M010,"Right, of course. Our flashlight. Mine and yours. I mean, me flashlight is su flashlight naturally."
Ses02F_script02_1_M012,"I wonder, do they always run during a full moon? I can't remember if it was full last year. Do you remember?"
Ses02F_script02_1_F005,Yeah.
Ses02F_script02_1_M013,"You cold? Do you want my jacket? Oh, we should've brought the blanket. Our blanket."
Ses02F_script02_1_M014,"This is great, isn't it? A six pack would be just the ticket right now."
Ses02F_script02_1_M015,I can't believe I forgot. I'm like a kid. It's amazing I got out of the house with my fly zipped.
Ses02F_script02_1_M016,You think they can hear us talk? Or feel the vibrations in the sand when we move around?
Ses02F_script02_1_M017,Do you want my jacket?
Ses02F_script02_1_F007,"It's after eleven, let's just go home."
Ses02F_script02_1_M019,Right.
Ses02F_script02_1_M020,That's my point too.
Ses02F_script02_1_M021,No. No. That's not my point. The point is there's no point in coming down if we just leave. Don't you want to see it?
Ses02F_script02_1_M024,"Think about the people in Kansas, they had to get plane tickets and hotel reservations to see this. We live forty minutes away. It's too good to pass up."
Ses02F_script02_1_F013,"Pass up what? These little fish swim onto the beach, they flop around, and swim away. And then they die."
Ses02F_script02_1_M025,"Yeah, but that moment on the beach, is the highlight of their little lives. All that flopping is laying eggs or what do you--spawning or mating. I mean,"
Ses02F_script02_1_M026,this is a big night for these guys. Life's last orgy.
Ses02F_script02_1_F014,"What are you so excited about? I mean, it's not a moon landing we're talking about here. It's fish. It's a fish nobody even eats."
Ses02F_script02_1_M027,Yeah they do.
Ses02F_script02_1_F015,"Ah, Augie."
Ses02F_script02_1_M028,Alright. But it's fish that do something that none of the other fish do. Like the swallows returning to Capistrano or the lemmings throwing themselves off the cliffs.
Ses02F_script02_1_F016,I'm just not.
Ses02F_script02_1_M031,"I don't get it. The first time we came here, you said it was the best night of your life."
Ses02F_script02_1_F018,"Last year, you will also remember our shoes got wet, I got sand in my panties, you got a sore throat, we got in a big fight over nothing, and we didn't see the grunions."
Ses02F_script02_1_M033,We weren't in a good spot.
Ses02F_script02_1_F019,We didn't see them the first time either.
Ses02F_script02_1_M035,There is that--no that's just seaweed isn't it?
Ses02F_script02_1_M036,"Oh man, this is great, isn't it? I wouldn't miss this for anything. Here, think about this, all right, I know you're not interested, but think about this."
Ses02F_script02_1_M039,"all as one, this time release instinctual little firecracker went off and they all turned and formed a line as long as the California coast and started swimming. And they're swimming right now as if that's all that matters."
Ses02F_script02_1_M040,It's like single mindedness with no mind. It's urgency that's pure urge. They don't know what drives them. They don't ask it a question or give it a name.
Ses02F_script02_1_M041,"They just turn as one and start the swim that brings them right here to where we stand, for a massive celebration of sex and death."
Ses02F_script02_1_M042,"Ah, God, I'm giving myself goose bumps. Look, all my hairs are popped up."
Ses02F_script02_1_M043,"Well, so what do you think?"
Ses02F_script02_1_F021,About what?
Ses02F_script02_1_M044,What I was saying.
Ses02F_script02_2_M000,"Well, so what do you think?"
Ses02F_script02_2_F000,About what?
Ses02F_script02_2_M001,What I was saying.
Ses02F_script02_2_F001,It's ridiculous.
Ses02F_script02_2_M002,It certainly is not. It's slightly exaggerated scientific fact.
Ses02F_script02_2_M003,"Well, I'm not the only one. Look at all these people."
Ses02F_script02_2_M005,"Carla, can I ask you something? Don't take this wrong, but are you having your period?"
Ses02F_script02_2_F005,"God damn it, Augie, don't ask me that. I hate it when you ask me that. You always ask me that. It's insulting."
Ses02F_script02_2_M006,"Well, what's bugging you?"
Ses02F_script02_2_F006,We just have different ideas of what this evening is supposed to look like.
Ses02F_script02_2_M007,"There's nothing to it. We come here, the grunion arrive, they do their little fish business, we go ooh, ah, look at the fish. They go home. We go home."
Ses02F_script02_2_F007,"For heaven sake, we're not going to see the grunions."
Ses02F_script02_2_M008,Why not?
Ses02F_script02_2_F008,"We never do, do we? I mean, have we ever?"
Ses02F_script02_2_M009,We've missed them twice. That's not ever.
Ses02F_script02_2_F009,Twice is every time we've tried. That's ever.
Ses02F_script02_2_M010,"Well, we'll see them this year."
Ses02F_script02_2_F010,"No, we won't. It's pointless. It's like waiting up to see Santa Claus."
Ses02F_script02_2_F011,"I mean, I feel like my whole life is gonna be spent standing on the beach with my eyes wide open and my hands clasped expectantly waiting for the fish to show up. And the fish won't show up."
Ses02F_script02_2_M011,I thought you wanted to see it.
Ses02F_script02_2_F012,You don't understand anything I'm saying.
Ses02F_script02_2_M012,"No, of course not."
Ses02F_script02_2_F013,I did want to see it. I always do. I keep thinking that this is gonna be the time and it never is.
Ses02F_script02_2_M013,It's just fish. Nothing to get traumatized about.
Ses02F_script02_2_M014,"All right. Look, I've been trying to work this backwards, but I cannot seem to figure out the exact moment that we took a turn for the worst."
Ses02F_script02_2_M016,"You said, ""Hey the grunion are running tonight."" I said, ""Great, let's go. I feel lucky."""
Ses02F_script02_2_M017,"Okay, so I'm putting on my jacket, putting out the animals, getting the car out of the garage--"
Ses02F_script02_2_F015,"Do you remember the first time we came to see it? It was about four years ago, right after we got married."
Ses02F_script02_2_F016,"I thought I was pregnant, you had a bottle of champagne, but no glasses. You asked me to dance, so we kicked off our shoes and you popped the cork."
Ses02F_script02_2_F017,"And while we were dancing, you said the softest, most intimate things to me right into my ear so that I could feel them as much as hear them."
Ses02F_script02_2_F018,"And I remember thinking, this is it. You know, at last--at last I am as happy as I am supposed to be."
Ses02F_script02_2_M018,Wait a minute. I've got it.
Ses02F_script02_2_F019,"Just dancing barefoot in the sand, drinking champagne out of the bottle."
Ses02F_script02_2_M019,"It was in the car, right? Driving past the Knickerbocker Liquor Locker, you said, ""let's get some champagne,"" and I said, ""time's a wasting"" or something like that, right?"
Ses02F_script02_2_M020,"Yeah, of course, I see it now. You want this to be like that other time, right? That's it, right?"
Ses02F_script02_2_F020,I'd rather not remember some things. I would rather not hope for some things.
Ses02F_script02_2_M021,"Okay, yeah, sure, I see it now. Listen, you wanna dance?"
Ses02F_script02_2_F021,No.
Ses02F_script02_2_M022,You want me to go get some champagne?
Ses02F_script02_2_F022,No.
Ses02F_script02_2_M023,Take off our shoes?
Ses02F_script02_2_M024,"Well, what? You want me to breathe in your ear?"
Ses02F_script02_2_F024,No.
Ses02F_script02_2_M025,You wanna get married again?
Ses02F_script02_2_F025,No.
Ses02F_script02_2_M026,What? What? You want a divorce?
Ses02F_script02_2_F026,No.
Ses02F_script02_2_M027,A vacation?
Ses02F_script02_2_F027,No.
Ses02F_script02_2_M028,"A new carpet? A poodle? Ice cream? Back rub? A suicide pact? What? What? Carla, what the hell do you want?"
Ses02F_script02_2_M029,"Well, welcome to the human race. Do you think this is what I had in mind when I proposed? That four years down the road, we'd be at the beach yelling at each other over fish?"
Ses02F_script02_2_M031,"No, Carla, I'm just like you. I thought it was gonna be all peaches and roses and sand in our toes and wind in our hair and the fish will always come and the bills will pay themselves and we'll have three fat rosy kids and ha, ha, baby, the joke's on us"
Ses02F_script02_2_M032,"'cause you know what you get, Carla? You know what you get? This."
Ses02F_script02_2_M033,"Yes, it is."
Ses02F_script02_2_M034,Right.
Ses02F_script02_2_F031,Well. This isn't anything like I thought anything would be like.
Ses02F_script02_2_M035,"I know, me neither."
Ses02F_script02_2_M036,I'm doing the best I can.
Ses02F_script02_2_F033,"I know that, Augie. Really, I do."
Ses02F_script02_2_F034,"I know that you meant this to be special and nice and the sand and the moon and all, but I just couldn't help thinking about being somewhere else."
Ses02F_script02_2_M037,Maybe if you were with somebody else too.
Ses02F_script02_2_F035,I didn't say that.
Ses02F_script02_2_M038,"No, I know. But still. I know I don't make you happy."
Ses02F_script02_2_F038,You're the one who probably wishes you were with someone else. Someone who--you'd rather enjoy yourself and didn't take everything so hard.
Ses02F_script02_2_M041,"I don't know. It seemed like a pretty good spot to me. I mean, look at the view you have of the moon from here."
Ses02F_script02_2_M042,"Well, look what we have here."
Ses02F_script02_2_F041,"Augie, you brought refreshments."
Ses02F_script02_2_M043,It's not champagne.
Ses02F_script02_2_F042,"Well, then we don't need glasses."
Ses02F_script02_2_F043,No. I think you might be right. Maybe this is the spot after all.
Ses02F_script02_2_F044,"Augie, I'm sorry."
Ses02F_script02_2_M045,Shh. If we're very quiet the fish might come.
Ses02F_script02_2_F045,Or not.
Ses02F_script02_2_M046,Or not.
Ses02F_script03_1_M001,I wonder.
Ses02F_script03_1_M004,I don't care then.
Ses02F_script03_1_M005,Hello? Hello? What? Wrong number.
Ses02F_script03_1_F005,"Ah, it send shivers up my spine."
Ses02F_script03_1_F006,Behave exquisitely.
Ses02F_script03_1_M007,With the most perfect poise?
Ses02F_script03_1_F007,"Oh, of course. I shall probably do a court curtsy."
Ses02F_script03_1_M008,Things that ought to matter dreadfully don't matter at all when one's happy. Do they?
Ses02F_script03_1_F008,What's so horrible is that one can't stay happy.
Ses02F_script03_1_M009,"Oh, darling, don't say that."
Ses02F_script03_1_F009,It's true. The whole business is a very poor joke.
Ses02F_script03_1_M010,"Meaning that sacred and beautiful thing, love?"
Ses02F_script03_1_F010,"Yes, meaning just that."
Ses02F_script03_1_M012,"You mustn't be serious, my dear one. That's just what they want."
Ses02F_script03_1_F012,Who's they?
Ses02F_script03_1_M013,All those futile moralists that try to make life unbearable. Laugh at them. Be flippant. Laugh at everything. All their sacred shibboleths.
Ses02F_script03_1_M014,Flippancy brings out the acid in their damn sweetness and light.
Ses02F_script03_1_F013,"If I laugh at everything, then I must laugh at us too."
Ses02F_script03_1_M015,"Certainly, you must. We're figures of fun, alright."
Ses02F_script03_1_F014,"Well how long will it last us, this ludicrous overbearing love of ours."
Ses02F_script03_1_M016,Who knows.
Ses02F_script03_1_F015,"Well, shall we always want to bicker and fight?"
Ses02F_script03_1_M017,"No, that desire will fade. Along with our passion."
Ses02F_script03_1_F016,"Oh, dear, shall we like that?"
Ses02F_script03_1_M018,Depends on how well we've played.
Ses02F_script03_1_F017,"Well, what happens if one of us dies? I mean, does the one that's left still laugh?"
Ses02F_script03_1_M019,Yes. Yes. With all his might.
Ses02F_script03_1_M020,"No. No, it isn't. Death is very laughable. Such a cunning little mystery. All done with mirrors."
Ses02F_script03_1_F019,"Darling, I believe you're talking nonsense."
Ses02F_script03_1_M021,So is everyone else in the long run.
Ses02F_script03_1_M022,"Let's be superficial and pity the poor philosophers. Let's blow our trumpets and squeakers and enjoy the party as much as we can. Like quite idiotic, very small school children. Let's savor the delight of the moment."
Ses02F_script03_1_M023,"Come and kiss me, darling, before your body rots and worms pop in and out of your eye sockets."
Ses02F_script03_1_F020,"Elliott, worms don't pop."
Ses02F_script03_1_M024,"I don't care what you do. See, you could paint yourself green and dance naked in the Place Vendome and rush off madly with all the men in the world and I shan't say a word. As long as you love me best."
Ses02F_script03_1_F021,"Oh, thank you, dear. The same applies to you except that if I catch so much as looking at another woman, I'll kill you."
Ses02F_script03_1_M025,You remember that awful scene we had in Venice?
Ses02F_script03_1_F022,Which particular one?
Ses02F_script03_1_M026,The one when you bought that little painted wooden snake in the Piazza and put it on my bed.
Ses02F_script03_1_F023,Charles. That was his name. Charles. He did wriggle so beautifully.
Ses02F_script03_1_F024,"Yes, I know you did. You threw it out of the window into the Grand Canal. I don't think I'll ever forgive you for that."
Ses02F_script03_1_M028,How long did that row last?
Ses02F_script03_1_F025,It went in intermittently for days.
Ses02F_script03_1_M029,The worst one was in Cannes when your curling iron burnt a hole in my new dressing gown.
Ses02F_script03_1_F026,It burned my comb too and all the towels in the bathroom.
Ses02F_script03_1_F027,That was the first time you ever hit me.
Ses02F_script03_1_M031,I didn't hit you very hard.
Ses02F_script03_1_F028,"The manager came in and found us rolling around on the floor, biting and scratching like panthers."
Ses02F_script03_1_M032,"Oh, I'll never forget his face."
Ses02F_script03_1_F029,It was ridiculous. Completely ridiculous.
Ses02F_script03_1_M033,We were very much younger then.
Ses02F_script03_1_M034,"As a matter of fact, the real cause of that row was Peter Burden."
Ses02F_script03_2_M000,"As a matter of fact, the real cause of that row was Peter Burden."
Ses02F_script03_2_M001,I knew nothing of the sort. You took presents from him.
Ses02F_script03_2_M006,What of it?
Ses02F_script03_2_M007,"Well, what about me?"
Ses02F_script03_2_F007,"Well, if you hadn't been so suspicious and nosey, you never would have known a thing about it."
Ses02F_script03_2_M009,"Me, too. Bored stiff. You want some brandy?"
Ses02F_script03_2_M011,No particular reason. Anyhow they were very small ones.
Ses02F_script03_2_F011,Just seems so silly to go on and on and on with such a thing.
Ses02F_script03_2_M012,You can hardly call three liquor glasses in a whole evening going on and on and on.
Ses02F_script03_2_F012,"Well, it's become a habit with you."
Ses02F_script03_2_M013,"You needn't be so grand, just because you don't happen to want any yourself at the moment."
Ses02F_script03_2_F013,Don't be so stupid.
Ses02F_script03_2_F014,What?
Ses02F_script03_2_M015,Nothing.
Ses02F_script03_2_F016,"A woman's job is to allure the man. Watch me a minute, will you?"
Ses02F_script03_2_F017,"No, it isn't."
Ses02F_script03_2_M019,"Yes, it is."
Ses02F_script03_2_F018,"Oh, be quiet."
Ses02F_script03_2_F019,Doesn't seem to have worked such wonders with you.
Ses02F_script03_2_M021,"Snap, snap, snap, like a little adder."
Ses02F_script03_2_F020,"Adders don't snap, they sting."
Ses02F_script03_2_M022,Nonsense. They have a little bag of venom behind their fangs and they snap.
Ses02F_script03_2_M023,They snap.
